cycle,time,well,row,col,temperature,strain,inducer_ID,inducer_conc,effector_ID,effector_conc,replicate,OD,FL
2,0.333333333333333,G1,7,1,30.1,BS01,Nar,0,b-Ala,10,3,0.585,4044
2,0.333333333333333,G2,7,2,30.1,BS01,Nar,4,b-Ala,10,3,0.632,5357
2,0.333333333333333,G3,7,3,30.1,BS01,Nar,10,b-Ala,10,3,0.606,5964
2,0.333333333333333,G4,7,4,30.1,BS01,Nar,20,b-Ala,10,3,0.64,5915
2,0.333333333333333,G5,7,5,30.1,BS01,Nar,60,b-Ala,10,3,0.657,5425
2,0.333333333333333,G6,7,6,30.1,medium,Nar,0,b-Ala,10,3,0.726,5722
2,0.333333333333333,G7,7,7,30.1,medium,Nar,60,b-Ala,10,3,0.324,190
2,0.333333333333333,H1,8,1,30.1,BS01,Nar,0,b-Ala,10,4,0.594,4609
2,0.333333333333333,H2,8,2,30.1,BS01,Nar,4,b-Ala,10,4,0.759,8168
2,0.333333333333333,H3,8,3,30.1,BS01,Nar,10,b-Ala,10,4,0.699,11566
2,0.333333333333333,H4,8,4,30.1,BS01,Nar,20,b-Ala,10,4,0.546,5069
2,0.333333333333333,H5,8,5,30.1,BS01,Nar,60,b-Ala,10,4,0.737,5867
2,0.333333333333333,H6,8,6,30.1,medium,Nar,0,b-Ala,10,4,0.685,5488
2,0.333333333333333,H7,8,7,30.1,medium,Nar,60,b-Ala,10,4,0.308,273
3,0.666666666666667,A1,1,1,30,BS01,Nar,0,b-Ala,0,1,0.46,3468
3,0.666666666666667,A2,1,2,30,BS01,Nar,4,b-Ala,0,1,0.47,2652
3,0.666666666666667,A3,1,3,30,BS01,Nar,10,b-Ala,0,1,0.5,2368
3,0.666666666666667,A4,1,4,30,BS01,Nar,20,b-Ala,0,1,0.597,1799
3,0.666666666666667,A5,1,5,30,BS01,Nar,60,b-Ala,0,1,0.602,1126
3,0.666666666666667,A6,1,6,30,medium,Nar,0,b-Ala,0,1,0.165,172
3,0.666666666666667,A7,1,7,30,medium,Nar,60,b-Ala,0,1,0.328,163
3,0.666666666666667,B1,2,1,30,BS01,Nar,0,b-Ala,0,2,1.091,10907
3,0.666666666666667,B2,2,2,30,BS01,Nar,4,b-Ala,0,2,1.067,8824
3,0.666666666666667,B3,2,3,30,BS01,Nar,10,b-Ala,0,2,1.089,5730
3,0.666666666666667,B4,2,4,30,BS01,Nar,20,b-Ala,0,2,1.18,8274
3,0.666666666666667,B5,2,5,30,BS01,Nar,60,b-Ala,0,2,0.957,3946
3,0.666666666666667,B6,2,6,30,medium,Nar,0,b-Ala,0,2,0.153,283
3,0.666666666666667,B7,2,7,30,medium,Nar,60,b-Ala,0,2,0.318,135
3,0.666666666666667,C1,3,1,30,BS01,Nar,0,b-Ala,0,3,0.404,2480
3,0.666666666666667,C2,3,2,30,BS01,Nar,4,b-Ala,0,3,0.585,4081
3,0.666666666666667,C3,3,3,30,BS01,Nar,10,b-Ala,0,3,0.617,2615
3,0.666666666666667,C4,3,4,30,BS01,Nar,20,b-Ala,0,3,0.641,1605
3,0.666666666666667,C5,3,5,30,BS01,Nar,60,b-Ala,0,3,0.594,1111
3,0.666666666666667,C6,3,6,30,medium,Nar,0,b-Ala,0,3,0.164,235
3,0.666666666666667,C7,3,7,30,medium,Nar,60,b-Ala,0,3,0.323,316
3,0.666666666666667,D1,4,1,30,BS01,Nar,0,b-Ala,0,4,0.598,3318
3,0.666666666666667,D2,4,2,30,BS01,Nar,4,b-Ala,0,4,0.571,3296
3,0.666666666666667,D3,4,3,30,BS01,Nar,10,b-Ala,0,4,0.663,2832
3,0.666666666666667,D4,4,4,30,BS01,Nar,20,b-Ala,0,4,0.652,1807
3,0.666666666666667,D5,4,5,30,BS01,Nar,60,b-Ala,0,4,0.643,1126
3,0.666666666666667,D6,4,6,30,medium,Nar,0,b-Ala,0,4,0.159,172
3,0.666666666666667,D7,4,7,30,medium,Nar,60,b-Ala,0,4,0.338,224
3,0.666666666666667,E1,5,1,30,BS01,Nar,0,b-Ala,10,1,0.606,4274
3,0.666666666666667,E2,5,2,30,BS01,Nar,4,b-Ala,10,1,0.69,5580
3,0.666666666666667,E3,5,3,30,BS01,Nar,10,b-Ala,10,1,0.652,5438
3,0.666666666666667,E4,5,4,30,BS01,Nar,20,b-Ala,10,1,0.588,5699
3,0.666666666666667,E5,5,5,30,BS01,Nar,60,b-Ala,10,1,0.812,11995
3,0.666666666666667,E6,5,6,30,medium,Nar,0,b-Ala,10,1,0.691,4686
3,0.666666666666667,E7,5,7,30,medium,Nar,60,b-Ala,10,1,0.323,232
3,0.666666666666667,F1,6,1,30,BS01,Nar,0,b-Ala,10,2,1.029,11680
3,0.666666666666667,F2,6,2,30,BS01,Nar,4,b-Ala,10,2,1.009,9247
3,0.666666666666667,F3,6,3,30,BS01,Nar,10,b-Ala,10,2,1.016,10862
3,0.666666666666667,F4,6,4,30,BS01,Nar,20,b-Ala,10,2,0.918,9365
3,0.666666666666667,F5,6,5,30,BS01,Nar,60,b-Ala,10,2,1.028,9301
3,0.666666666666667,F6,6,6,30,medium,Nar,0,b-Ala,10,2,1.021,9805
3,0.666666666666667,F7,6,7,30,medium,Nar,60,b-Ala,10,2,0.327,288
3,0.666666666666667,G1,7,1,30,BS01,Nar,0,b-Ala,10,3,0.585,4386
3,0.666666666666667,G2,7,2,30,BS01,Nar,4,b-Ala,10,3,0.633,5742
3,0.666666666666667,G3,7,3,30,BS01,Nar,10,b-Ala,10,3,0.609,5959
3,0.666666666666667,G4,7,4,30,BS01,Nar,20,b-Ala,10,3,0.643,5282
3,0.666666666666667,G5,7,5,30,BS01,Nar,60,b-Ala,10,3,0.655,5266
3,0.666666666666667,G6,7,6,30,medium,Nar,0,b-Ala,10,3,0.722,6039
3,0.666666666666667,G7,7,7,30,medium,Nar,60,b-Ala,10,3,0.324,178
3,0.666666666666667,H1,8,1,30,BS01,Nar,0,b-Ala,10,4,0.594,4582
3,0.666666666666667,H2,8,2,30,BS01,Nar,4,b-Ala,10,4,0.765,7948
3,0.666666666666667,H3,8,3,30,BS01,Nar,10,b-Ala,10,4,0.701,10878
3,0.666666666666667,H4,8,4,30,BS01,Nar,20,b-Ala,10,4,0.546,4787
3,0.666666666666667,H5,8,5,30,BS01,Nar,60,b-Ala,10,4,0.734,5796
3,0.666666666666667,H6,8,6,30,medium,Nar,0,b-Ala,10,4,0.684,5414
3,0.666666666666667,H7,8,7,30,medium,Nar,60,b-Ala,10,4,0.308,258
4,1,A1,1,1,30.1,BS01,Nar,0,b-Ala,0,1,0.461,3441
4,1,A2,1,2,30.1,BS01,Nar,4,b-Ala,0,1,0.47,2594
4,1,A3,1,3,30.1,BS01,Nar,10,b-Ala,0,1,0.501,2447
4,1,A4,1,4,30.1,BS01,Nar,20,b-Ala,0,1,0.596,1760
4,1,A5,1,5,30.1,BS01,Nar,60,b-Ala,0,1,0.603,997
4,1,A6,1,6,30.1,medium,Nar,0,b-Ala,0,1,0.165,204
4,1,A7,1,7,30.1,medium,Nar,60,b-Ala,0,1,0.32,213
4,1,B1,2,1,30.1,BS01,Nar,0,b-Ala,0,2,1.081,10316
4,1,B2,2,2,30.1,BS01,Nar,4,b-Ala,0,2,1.054,7977
4,1,B3,2,3,30.1,BS01,Nar,10,b-Ala,0,2,1.092,5920
4,1,B4,2,4,30.1,BS01,Nar,20,b-Ala,0,2,1.178,8544
4,1,B5,2,5,30.1,BS01,Nar,60,b-Ala,0,2,0.908,3481
4,1,B6,2,6,30.1,medium,Nar,0,b-Ala,0,2,0.153,176
4,1,B7,2,7,30.1,medium,Nar,60,b-Ala,0,2,0.319,160
4,1,C1,3,1,30.1,BS01,Nar,0,b-Ala,0,3,0.407,2884
4,1,C2,3,2,30.1,BS01,Nar,4,b-Ala,0,3,0.586,3865
4,1,C3,3,3,30.1,BS01,Nar,10,b-Ala,0,3,0.618,2591
4,1,C4,3,4,30.1,BS01,Nar,20,b-Ala,0,3,0.641,1606
4,1,C5,3,5,30.1,BS01,Nar,60,b-Ala,0,3,0.592,985
4,1,C6,3,6,30.1,medium,Nar,0,b-Ala,0,3,0.166,234
4,1,C7,3,7,30.1,medium,Nar,60,b-Ala,0,3,0.323,205
4,1,D1,4,1,30.1,BS01,Nar,0,b-Ala,0,4,0.601,3712
4,1,D2,4,2,30.1,BS01,Nar,4,b-Ala,0,4,0.574,3263
4,1,D3,4,3,30.1,BS01,Nar,10,b-Ala,0,4,0.665,2774
4,1,D4,4,4,30.1,BS01,Nar,20,b-Ala,0,4,0.652,1699
4,1,D5,4,5,30.1,BS01,Nar,60,b-Ala,0,4,0.632,1065
4,1,D6,4,6,30.1,medium,Nar,0,b-Ala,0,4,0.16,220
4,1,D7,4,7,30.1,medium,Nar,60,b-Ala,0,4,0.338,245
4,1,E1,5,1,30.1,BS01,Nar,0,b-Ala,10,1,0.605,4368
4,1,E2,5,2,30.1,BS01,Nar,4,b-Ala,10,1,0.69,5461
4,1,E3,5,3,30.1,BS01,Nar,10,b-Ala,10,1,0.653,5364
4,1,E4,5,4,30.1,BS01,Nar,20,b-Ala,10,1,0.588,5339
4,1,E5,5,5,30.1,BS01,Nar,60,b-Ala,10,1,0.812,12423
4,1,E6,5,6,30.1,medium,Nar,0,b-Ala,10,1,0.691,5016
4,1,E7,5,7,30.1,medium,Nar,60,b-Ala,10,1,0.323,281
4,1,F1,6,1,30.1,BS01,Nar,0,b-Ala,10,2,1.023,11540
4,1,F2,6,2,30.1,BS01,Nar,4,b-Ala,10,2,1.009,9554
4,1,F3,6,3,30.1,BS01,Nar,10,b-Ala,10,2,1.018,10535
4,1,F4,6,4,30.1,BS01,Nar,20,b-Ala,10,2,0.936,9292
4,1,F5,6,5,30.1,BS01,Nar,60,b-Ala,10,2,1.024,9857
4,1,F6,6,6,30.1,medium,Nar,0,b-Ala,10,2,1.015,10263
4,1,F7,6,7,30.1,medium,Nar,60,b-Ala,10,2,0.327,152
4,1,G1,7,1,30.1,BS01,Nar,0,b-Ala,10,3,0.585,3864
4,1,G2,7,2,30.1,BS01,Nar,4,b-Ala,10,3,0.633,5266
4,1,G3,7,3,30.1,BS01,Nar,10,b-Ala,10,3,0.61,5891
4,1,G4,7,4,30.1,BS01,Nar,20,b-Ala,10,3,0.642,5895
4,1,G5,7,5,30.1,BS01,Nar,60,b-Ala,10,3,0.656,5324
4,1,G6,7,6,30.1,medium,Nar,0,b-Ala,10,3,0.721,5879
4,1,G7,7,7,30.1,medium,Nar,60,b-Ala,10,3,0.325,220
4,1,H1,8,1,30.1,BS01,Nar,0,b-Ala,10,4,0.594,4747
4,1,H2,8,2,30.1,BS01,Nar,4,b-Ala,10,4,0.77,8745
4,1,H3,8,3,30.1,BS01,Nar,10,b-Ala,10,4,0.703,11606
4,1,H4,8,4,30.1,BS01,Nar,20,b-Ala,10,4,0.545,5239
4,1,H5,8,5,30.1,BS01,Nar,60,b-Ala,10,4,0.735,5760
4,1,H6,8,6,30.1,medium,Nar,0,b-Ala,10,4,0.684,5309
4,1,H7,8,7,30.1,medium,Nar,60,b-Ala,10,4,0.309,234
5,1.33333333333333,A1,1,1,30,BS01,Nar,0,b-Ala,0,1,0.464,3172
5,1.33333333333333,A2,1,2,30,BS01,Nar,4,b-Ala,0,1,0.471,2587
5,1.33333333333333,A3,1,3,30,BS01,Nar,10,b-Ala,0,1,0.503,2366
5,1.33333333333333,A4,1,4,30,BS01,Nar,20,b-Ala,0,1,0.596,1665
5,1.33333333333333,A5,1,5,30,BS01,Nar,60,b-Ala,0,1,0.603,1106
5,1.33333333333333,A6,1,6,30,medium,Nar,0,b-Ala,0,1,0.164,227
5,1.33333333333333,A7,1,7,30,medium,Nar,60,b-Ala,0,1,0.313,198
5,1.33333333333333,B1,2,1,30,BS01,Nar,0,b-Ala,0,2,1.095,11204
5,1.33333333333333,B2,2,2,30,BS01,Nar,4,b-Ala,0,2,1.057,8370
5,1.33333333333333,B3,2,3,30,BS01,Nar,10,b-Ala,0,2,1.094,5635
5,1.33333333333333,B4,2,4,30,BS01,Nar,20,b-Ala,0,2,1.159,7638
5,1.33333333333333,B5,2,5,30,BS01,Nar,60,b-Ala,0,2,0.891,3448
5,1.33333333333333,B6,2,6,30,medium,Nar,0,b-Ala,0,2,0.153,182
5,1.33333333333333,B7,2,7,30,medium,Nar,60,b-Ala,0,2,0.32,219
5,1.33333333333333,C1,3,1,30,BS01,Nar,0,b-Ala,0,3,0.41,2945
5,1.33333333333333,C2,3,2,30,BS01,Nar,4,b-Ala,0,3,0.588,3625
5,1.33333333333333,C3,3,3,30,BS01,Nar,10,b-Ala,0,3,0.62,2432
5,1.33333333333333,C4,3,4,30,BS01,Nar,20,b-Ala,0,3,0.643,1723
5,1.33333333333333,C5,3,5,30,BS01,Nar,60,b-Ala,0,3,0.591,1017
5,1.33333333333333,C6,3,6,30,medium,Nar,0,b-Ala,0,3,0.167,236
5,1.33333333333333,C7,3,7,30,medium,Nar,60,b-Ala,0,3,0.323,231
5,1.33333333333333,D1,4,1,30,BS01,Nar,0,b-Ala,0,4,0.602,3650
5,1.33333333333333,D2,4,2,30,BS01,Nar,4,b-Ala,0,4,0.576,3110
5,1.33333333333333,D3,4,3,30,BS01,Nar,10,b-Ala,0,4,0.668,2709
5,1.33333333333333,D4,4,4,30,BS01,Nar,20,b-Ala,0,4,0.654,1530
5,1.33333333333333,D5,4,5,30,BS01,Nar,60,b-Ala,0,4,0.631,979
5,1.33333333333333,D6,4,6,30,medium,Nar,0,b-Ala,0,4,0.165,191
5,1.33333333333333,D7,4,7,30,medium,Nar,60,b-Ala,0,4,0.34,267
5,1.33333333333333,E1,5,1,30,BS01,Nar,0,b-Ala,10,1,0.606,4526
5,1.33333333333333,E2,5,2,30,BS01,Nar,4,b-Ala,10,1,0.69,4700
5,1.33333333333333,E3,5,3,30,BS01,Nar,10,b-Ala,10,1,0.655,5737
5,1.33333333333333,E4,5,4,30,BS01,Nar,20,b-Ala,10,1,0.591,5266
5,1.33333333333333,E5,5,5,30,BS01,Nar,60,b-Ala,10,1,0.813,12507
5,1.33333333333333,E6,5,6,30,medium,Nar,0,b-Ala,10,1,0.692,5173
5,1.33333333333333,E7,5,7,30,medium,Nar,60,b-Ala,10,1,0.322,214
5,1.33333333333333,F1,6,1,30,BS01,Nar,0,b-Ala,10,2,1.038,11945
5,1.33333333333333,F2,6,2,30,BS01,Nar,4,b-Ala,10,2,1.015,9723
5,1.33333333333333,F3,6,3,30,BS01,Nar,10,b-Ala,10,2,1.024,10918
5,1.33333333333333,F4,6,4,30,BS01,Nar,20,b-Ala,10,2,0.94,9658
5,1.33333333333333,F5,6,5,30,BS01,Nar,60,b-Ala,10,2,1.026,9026
5,1.33333333333333,F6,6,6,30,medium,Nar,0,b-Ala,10,2,1.019,10788
5,1.33333333333333,F7,6,7,30,medium,Nar,60,b-Ala,10,2,0.328,250
5,1.33333333333333,G1,7,1,30,BS01,Nar,0,b-Ala,10,3,0.586,3871
5,1.33333333333333,G2,7,2,30,BS01,Nar,4,b-Ala,10,3,0.633,5383
5,1.33333333333333,G3,7,3,30,BS01,Nar,10,b-Ala,10,3,0.613,6083
5,1.33333333333333,G4,7,4,30,BS01,Nar,20,b-Ala,10,3,0.643,5863
5,1.33333333333333,G5,7,5,30,BS01,Nar,60,b-Ala,10,3,0.656,5328
5,1.33333333333333,G6,7,6,30,medium,Nar,0,b-Ala,10,3,0.721,6023
5,1.33333333333333,G7,7,7,30,medium,Nar,60,b-Ala,10,3,0.324,173
5,1.33333333333333,H1,8,1,30,BS01,Nar,0,b-Ala,10,4,0.595,4615
5,1.33333333333333,H2,8,2,30,BS01,Nar,4,b-Ala,10,4,0.772,8684
5,1.33333333333333,H3,8,3,30,BS01,Nar,10,b-Ala,10,4,0.705,11965
5,1.33333333333333,H4,8,4,30,BS01,Nar,20,b-Ala,10,4,0.542,4728
5,1.33333333333333,H5,8,5,30,BS01,Nar,60,b-Ala,10,4,0.734,5753
5,1.33333333333333,H6,8,6,30,medium,Nar,0,b-Ala,10,4,0.684,5327
5,1.33333333333333,H7,8,7,30,medium,Nar,60,b-Ala,10,4,0.31,244
6,1.66666666666667,A1,1,1,30,BS01,Nar,0,b-Ala,0,1,0.466,3076
6,1.66666666666667,A2,1,2,30,BS01,Nar,4,b-Ala,0,1,0.474,2623
6,1.66666666666667,A3,1,3,30,BS01,Nar,10,b-Ala,0,1,0.507,2469
6,1.66666666666667,A4,1,4,30,BS01,Nar,20,b-Ala,0,1,0.601,1779
6,1.66666666666667,A5,1,5,30,BS01,Nar,60,b-Ala,0,1,0.604,882
6,1.66666666666667,A6,1,6,30,medium,Nar,0,b-Ala,0,1,0.163,173
6,1.66666666666667,A7,1,7,30,medium,Nar,60,b-Ala,0,1,0.309,203
6,1.66666666666667,B1,2,1,30,BS01,Nar,0,b-Ala,0,2,1.104,11024
6,1.66666666666667,B2,2,2,30,BS01,Nar,4,b-Ala,0,2,1.062,8147
6,1.66666666666667,B3,2,3,30,BS01,Nar,10,b-Ala,0,2,1.098,5820
6,1.66666666666667,B4,2,4,30,BS01,Nar,20,b-Ala,0,2,1.163,7676
6,1.66666666666667,B5,2,5,30,BS01,Nar,60,b-Ala,0,2,0.897,3995
6,1.66666666666667,B6,2,6,30,medium,Nar,0,b-Ala,0,2,0.153,187
6,1.66666666666667,B7,2,7,30,medium,Nar,60,b-Ala,0,2,0.32,212
6,1.66666666666667,C1,3,1,30,BS01,Nar,0,b-Ala,0,3,0.414,2864
6,1.66666666666667,C2,3,2,30,BS01,Nar,4,b-Ala,0,3,0.594,3565
6,1.66666666666667,C3,3,3,30,BS01,Nar,10,b-Ala,0,3,0.623,2528
6,1.66666666666667,C4,3,4,30,BS01,Nar,20,b-Ala,0,3,0.647,1822
6,1.66666666666667,C5,3,5,30,BS01,Nar,60,b-Ala,0,3,0.594,832
6,1.66666666666667,C6,3,6,30,medium,Nar,0,b-Ala,0,3,0.164,233
6,1.66666666666667,C7,3,7,30,medium,Nar,60,b-Ala,0,3,0.325,126
6,1.66666666666667,D1,4,1,30,BS01,Nar,0,b-Ala,0,4,0.605,3191
6,1.66666666666667,D2,4,2,30,BS01,Nar,4,b-Ala,0,4,0.577,3437
6,1.66666666666667,D3,4,3,30,BS01,Nar,10,b-Ala,0,4,0.67,2727
6,1.66666666666667,D4,4,4,30,BS01,Nar,20,b-Ala,0,4,0.657,1690
6,1.66666666666667,D5,4,5,30,BS01,Nar,60,b-Ala,0,4,0.624,1029
6,1.66666666666667,D6,4,6,30,medium,Nar,0,b-Ala,0,4,0.166,230
6,1.66666666666667,D7,4,7,30,medium,Nar,60,b-Ala,0,4,0.343,378
6,1.66666666666667,E1,5,1,30,BS01,Nar,0,b-Ala,10,1,0.607,4500
6,1.66666666666667,E2,5,2,30,BS01,Nar,4,b-Ala,10,1,0.691,5089
6,1.66666666666667,E3,5,3,30,BS01,Nar,10,b-Ala,10,1,0.657,5790
6,1.66666666666667,E4,5,4,30,BS01,Nar,20,b-Ala,10,1,0.59,5421
6,1.66666666666667,E5,5,5,30,BS01,Nar,60,b-Ala,10,1,0.812,12017
6,1.66666666666667,E6,5,6,30,medium,Nar,0,b-Ala,10,1,0.692,4924
6,1.66666666666667,E7,5,7,30,medium,Nar,60,b-Ala,10,1,0.326,309
